x,y
24,3115
35,5717
36,6387
36,6616
42,9666
63,20921
79,30716
87,37180
88,41397
92,43401
115,65406
160,131033
178,166529
178,163186
196,201532
212,218117
241,291194
248,320748
250,311577
251,346367
253,317144
267,330641
272,364580
273,388901
275,394866
295,482506
309,497350
310,548284
327,549198
335,492071
343,612500
347,596592
351,563679
359,628376
360,617481
366,664858
370,665980
376,698622
404,851472
405,817967
409,787482
410,945841
412,800688
413,829811
419,883094
446,1008444
462,1071442
486,1067245
488,1216533
494,1375233
